PRECIOS ENERO 2026 ,,,,,
,CIBIC,GORNITZ,FPM,MANLAB,LERDA 
CADENA LIVIANA KAPPA LIBRE ," $115.379,00"," $214.750,04"," $80.443,00"," $95.710,90",
MIELOPEROXIDADA," $16.397,00"," $20.362,71"," $22.315,27"," $9.694,72",
PROTEINASA 3," $16.397,00"," $20.362,71"," $18.595,92"," $9.694,72",
PYLORI MF," $30.034,00",-,-,-,
CROSS MATCH PANEL ,-,-," $180.550,00"," $243.986,20",
CROSS MATCH DONANTE ,-,-," $18.000,00"," $100.747,34",
HLA A MOLECULAR ," $110.849,00"," $105.370,17"," $104.075,00"," $73.620,17",
HLA B MOLECULAR ," $110.849,00"," $121.244,97"," $104.075,00"," $73.620,17",
HLA DR CITROMETRIA ," $23.210,00"," $118.541,59"," $74.221,08"," $73.620,17",
AC. ANTI PLAQUETARIA," $44.807,00"," $162.006,70",-,-,
,,,,,
,,,,,
,,,,,
CADENA LIVIANA KAPPA SUERO," $41.953,00"," $25.562,19",-," $22.425,39",
CADENA LIVIANA LAMBDA ORINA," $37.944,00",-,-," $22.425,39",
CADENA LIVIANA LIBRE LAMBDA SUERO ," $118.840,00"," $220.118,79"," $86.472,22"," $102.465,96",
CADENA LIVIANA KAPPA LIBRE ORINA ,-,-," $86.472,22"," $102.465,96",
